@RELATION acceleration
@ATTRIBUTE time NUMERIC
@ATTRIBUTE r2 NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE movement {accel,max,decel,stopped}
@DATA
0,0,0,0,0,stopped
0.5,0.001857,-0.00928,0.035889,-0.021973,stopped
1,0.018895,-0.042941,-0.108683,0.07238,stopped
1.5,0.018598,0.047239,-0.069618,-0.107332,stopped
2,0.003458,-0.036404,0.041561,0.020147,stopped
2.5,0.033036,-0.011544,-0.074867,-0.16522,stopped
3,0.008368,0.073244,-0.0051,0.054563,stopped
3.5,0.013115,0.108377,-0.035872,0.0091,stopped
4,0.004797,-0.067472,-0.013076,0.008577,stopped
4.5,0.006084,0.002795,-0.024407,-0.07403,stopped
5,0.005599,-0.060112,-0.000611,0.044551,stopped
5.5,0.001941,0.005153,0.02086,-0.03846,stopped
6,0.000027,-0.000268,0.004198,0.00307,stopped
6.5,0.000222,0.013365,0.002477,-0.006127,stopped
7,0.003513,-0.024861,-0.028136,-0.045858,stopped
7.5,0.000349,-0.005449,0.009648,0.01505,stopped
8,0.001335,0.013289,-0.008365,-0.032988,stopped
8.5,0.000368,0.011711,0.001575,-0.015114,stopped
9,0.000249,0.002274,-0.000846,-0.015577,stopped
9.5,0.000796,0.023234,0.005047,-0.015176,stopped
10,0.000468,-0.013613,-0.012875,-0.010811,stopped
10.5,0.001135,-0.031147,-0.011545,-0.005574,stopped
11,0.000608,0.00155,-0.00402,-0.024275,stopped
11.5,0.000333,0.003551,-0.015814,-0.008405,stopped
12,0.000242,0.008927,-0.007887,-0.01002,stopped
12.5,0.000207,0.011293,0.005509,-0.00698,stopped
13,0.000016,-0.000031,-0.003914,-0.000627,stopped
13.5,0.000125,0.008468,-0.001901,-0.007058,stopped
14,0.001005,0.01137,-0.01306,-0.026551,stopped
14.5,0.000354,-0.01126,-0.01212,-0.008951,stopped
15,0.000067,0.002331,-0.007859,0.000529,stopped
15.5,0.000298,0.010539,0.002381,-0.013448,stopped
16,0.000777,0.002032,0.001093,0.027771,stopped
16.5,0.00042,0.005883,-0.005138,-0.018958,stopped
17,0.000593,0.006963,-0.009237,-0.021431,stopped
17.5,0.000594,0.010076,-0.006523,-0.021208,stopped
18,0.000024,0.002053,-0.00382,0.002333,stopped
18.5,0.000169,0.006074,-0.011469,-0.000255,stopped
19,0.000275,0.003515,-0.006682,-0.014753,stopped
19.5,0.000232,0.012116,-0.004748,0.007945,stopped
